station_code,flow_data,sensors,station_name,station_type,query,altitude,latitude,longitude,county,river_basin,data_source
MUC,    243 CFS,flow,MUD CREEK NEAR CHICO,real-time,/cgi-progs/queryF?MUC,170,39.7833557128906,-121.88671875,BUTTE,SACRAMENTO R,http://cdec.water.ca.gov/
MSG,    284 CFS,flow,MUD SLOUGH NR GUSTINE,real-time,/cgi-progs/queryF?MSG,70,37.2625,-120.9056,MERCED,SAN JOAQUIN R,http://cdec.water.ca.gov/
NFW,     16 CFS,flow,N FK WILLOW CK NR SUGAR PINE,real-time,/cgi-progs/queryF?NFW,5200,37.3978,-119.5592,MADERA,SAN JOAQUIN R,http://cdec.water.ca.gov/
NFC,    563 CFS,flow,N FORK CACHE CREEK AT HOUGH SPRINGS,real-time,/cgi-progs/queryF?NFC,1534,39.1654472351074,-122.619987487793,LAKE,CACHE CR,http://cdec.water.ca.gov/
GYB,    914 CFS,flow,N YUBA R BLW GOODYEARS BAR,real-time,/cgi-progs/queryF?GYB,2453,39.5248947143555,-120.938003540039,SIERRA,YUBA R,http://cdec.water.ca.gov/
NYS,   1464 CFS,flow,N YUBA R. ABV SLATE CK NR STRAWBERRY,real-time,/cgi-progs/queryF?NYS,2000,39.5247,-121.0906,YUBA,YUBA R,http://cdec.water.ca.gov/
NAP,   1870 CFS,flow,NAPA RIVER NEAR NAPA,real-time,/cgi-progs/queryF?NAP,25,38.3682441711426,-122.30330657959,NAPA,NAPA R,http://cdec.water.ca.gov/
STH,    644 CFS,flow,NAPA RIVER NEAR ST HELENA,real-time,/cgi-progs/queryF?STH,195,38.5112991333008,-122.455810546875,NAPA,NAPA R,http://cdec.water.ca.gov/
NSL,   5090 CFS,flow,NATIONAL STEEL,real-time,/cgi-progs/queryF?NSL,0,38.1221,-121.8881,SOLANO,SACRAMENTO R,http://cdec.water.ca.gov/
NRN,   3860 CFS,flow,NAVARRO RIVER NEAR NAVARRO,real-time,/cgi-progs/queryF?NRN,5,39.1704559326172,-123.668067932129,MENDOCINO,NAVARRO RIVER,http://cdec.water.ca.gov/
NFD,   2460 CFS,flow,NF AMERICAN R AT NORTH FORK DAM,real-time,/cgi-progs/queryF?NFD,715,38.9360084533691,-121.023834228516,PLACER,AMERICAN R,http://cdec.water.ca.gov/
NKD,    215 CFS,flow,NF KINGS RIVER BLW DINKEY CREEK ,real-time,/cgi-progs/queryF?NKD,1035,36.88,-119.128,FRESNO,KINGS R,http://cdec.water.ca.gov/
NTR,    502 CFS,flow,NF TRINITY RIVER AT HELENA,real-time,/cgi-progs/queryF?NTR,1345,40.782,-123.127,TRINITY,TRINITY R,http://cdec.water.ca.gov/
NMR,   6374 CFS,flow,NORTH MOKELUNME R @ W WALNUT GROVE RD,real-time,/cgi-progs/queryF?NMR,0,38.2232,-121.5071,SAN JOAQUIN,MOKELUMNE R,http://cdec.water.ca.gov/
OKN,    726 CFS,flow,O'KANE (BLUE LAKE),real-time,/cgi-progs/queryF?OKN,850,40.9059638977051,-123.815338134766,HUMBOLDT,REDWOOD CR,http://cdec.water.ca.gov/
OMR,-1258 CFS,flow,OLD & MIDDLE RVRS TIDALLY FILTERED EST,real-time,/cgi-progs/queryF?OMR,10,37.97,-121.5711,SAN JOAQUIN,SAN JOAQUIN,http://cdec.water.ca.gov/
ORQ,  14454 CFS,flow,OLD RIVER @ QUIMBLY IS NEAR BETHEL IS,real-time,/cgi-progs/queryF?ORQ,0,38.0272,-121.5645,SAN JOAQUIN,SAN JOAQUIN R,http://cdec.water.ca.gov/
OBI,  11169 CFS,flow,OLD RIVER AT BACON ISLAND (USGS),real-time,/cgi-progs/queryF?OBI,10,37.970001,-121.571114,SAN JOAQUIN,DELTA,http://cdec.water.ca.gov/
ORI,   7359 CFS,flow,OLD RIVER AT CLIFTON COURT INTAKE,real-time,/cgi-progs/queryF?ORI,0,37.828,-121.5526,CONTRA COSTA,SAN JOAQUIN R,http://cdec.water.ca.gov/
ODM,   1723 CFS,flow,OLD RIVER AT DELTA MENDOTA CANAL,real-time,/cgi-progs/queryF?ODM,10,37.81,-121.541,SAN JOAQUIN,DELTA,http://cdec.water.ca.gov/
OH1,   2321 CFS,flow,OLD RIVER AT HEAD,real-time,/cgi-progs/queryF?OH1,15,37.808,-121.329,SAN JOAQUIN,SAN JOAQUIN R,http://cdec.water.ca.gov/
OH4,100000000 CFS,flow,OLD RIVER AT HIGHWAY 4,real-time,/cgi-progs/queryF?OH4,10,37.891109,-121.569168,CONTRA COSTA,DELTA,http://cdec.water.ca.gov/
OLD,    365 CFS,flow,OLD RIVER NEAR TRACY,real-time,/cgi-progs/queryF?OLD,5,37.805,-121.449,SAN JOAQUIN,DELTA,http://cdec.water.ca.gov/
LCB,     21 CFS,flow,OREGON CREEK BELOW LOG CABIN,real-time,/cgi-progs/queryF?LCB,1913,39.445,-121.058,YUBA,YUBA R,http://cdec.water.ca.gov/
OCL,       BRT,flow,ORESTIMBA CK AT RIVER RD NR CROWS LNDG,real-time,/cgi-progs/queryF?OCL,65,37.4135475158691,-121.016044616699,STANISLAUS,SAN JOAQUIN R,http://cdec.water.ca.gov/
ORE,    476 CFS,flow,ORESTIMBA CREEK NR NEWMAN,real-time,/cgi-progs/queryF?ORE,0,37.3154907226563,-121.125205993652,STANISLAUS,SAN JOAQUIN R,http://cdec.water.ca.gov/
CHT,    711 CFS,flow,PAJARO RIVER AT CHITTENDEN,real-time,/cgi-progs/queryF?CHT,82,36.9002304077148,-121.597724914551,SANTA CRUZ,PAJARO R,http://cdec.water.ca.gov/
BPD,     49 CFS,flow,PARROT DIV FROM BUTTE CREEK,real-time,/cgi-progs/queryF?BPD,269,39.7089042663574,-121.754188537598,BUTTE,BUTTE CR,http://cdec.water.ca.gov/
PRB,   2516 CFS,flow,PH-27 PIT RIVER AT BIG BEND 11-3630.00,real-time,/cgi-progs/queryF?PRB,1680,41.02,-121.909,SHASTA,PIT R,http://cdec.water.ca.gov/
PR4,    424 CFS,flow,PH-30 PIT RIVER BLW PIT NO-4 DAM 11-3625,real-time,/cgi-progs/queryF?PR4,2360,40.975,-121.779,SHASTA,PIT R,http://cdec.water.ca.gov/
PIL,       ART,flow,PILARCITOS CREEK BL STONE DAM,real-time,/cgi-progs/queryF?PIL,500,37.5246620178223,-122.3994140625,SAN MATEO,COAST-SAN MATEO,http://cdec.water.ca.gov/
PIR,      5 CFS,flow,PIRU CREEK BLW BUCK CR NR PYRAMID LAKE,real-time,/cgi-progs/queryF?PIR,2600,34.665,-118.823,VENTURA,PIRU CR,http://cdec.water.ca.gov/
PP1,   1590 CFS,flow,PIT R BELOW PIT #1 PH NEAR FALL R MILLS,real-time,/cgi-progs/queryF?PP1,2798,40.9832191467285,-121.511924743652,SHASTA,PIT R,http://cdec.water.ca.gov/
P35,    330 CFS,flow,PIT RIVER BELOW LAKE BRITTON,real-time,/cgi-progs/queryF?P35,2750,41.021294,-121.675692,SHASTA,PIT R,http://cdec.water.ca.gov/
PCN,     98 CFS,flow,PIT RIVER NEAR CANBY,real-time,/cgi-progs/queryF?PCN,4266,41.4060020446777,-120.927742004395,MODOC,PIT R,http://cdec.water.ca.gov/
PTK,     55 CFS,flow,PROSSER CREEK NEAR TRUCKEE,real-time,/cgi-progs/queryF?PTK,5602,39.3732414245605,-120.13158416748,NEVADA,TRUCKEE R,http://cdec.water.ca.gov/
PCG,    892 CFS,flow,PUTAH CREEK NEAR GUENOC,real-time,/cgi-progs/queryF?PCG,914,38.7787895202637,-122.517478942871,LAKE,PUTAH CR,http://cdec.water.ca.gov/
PUT,     92 CFS,flow,PUTAH CREEK NEAR WINTERS,real-time,/cgi-progs/queryF?PUT,161,38.5151863098145,-122.081916809082,YOLO,PUTAH CR,http://cdec.water.ca.gov/
RBW,    392 CFS,flow,RAINBOW DIVERSION DAM,real-time,/cgi-progs/queryF?RBW,1297,39.371,-122.605,COLUSA,STONY CR,http://cdec.water.ca.gov/
ORK,   3810 CFS,flow,REDWOOD CREEK AT ORICK,real-time,/cgi-progs/queryF?ORK,36,41.2992897033691,-124.05118560791,HUMBOLDT,REDWOOD CR,http://cdec.water.ca.gov/
RRI,   5386 CFS,flow,ROUGH AND READY ISLAND,real-time,/cgi-progs/queryF?RRI,15,37.963,-121.365,SAN JOAQUIN,SAN JOAQUIN R,http://cdec.water.ca.gov/
RCL,     70 CFS,flow,RUSH CREEK NEAR LEWISTON,real-time,/cgi-progs/queryF?RCL,1700,40.725,-122.834,TRINITY,TRINITY R,http://cdec.water.ca.gov/
RRU,   1570 CFS,flow,RUSSIAN R NR UKIAH,real-time,/cgi-progs/queryF?RRU,599,39.1956,-123.1939,MENDOCINO,RUSSIAN R,http://cdec.water.ca.gov/
CLV,   5930 CFS,flow,RUSSIAN RIVER AT CLOVERDALE,real-time,/cgi-progs/queryF?CLV,107,38.8793487548828,-123.053611755371,MENDOCINO,RUSSIAN R,http://cdec.water.ca.gov/
HAC,  15500 CFS,flow,RUSSIAN RIVER NEAR HACIENDA BRIDGE,real-time,/cgi-progs/queryF?HAC,20,38.5085220336914,-122.927772521973,SONOMA,RUSSIAN R,http://cdec.water.ca.gov/
HEA,  10600 CFS,flow,RUSSIAN RIVER NEAR HEALDSBURG,real-time,/cgi-progs/queryF?HEA,108,38.6132431030273,-122.836380004883,SONOMA,RUSSIAN R,http://cdec.water.ca.gov/
HOP,   3840 CFS,flow,RUSSIAN RIVER NEAR HOPLAND,real-time,/cgi-progs/queryF?HOP,498,39.0265617370605,-123.130561828613,MENDOCINO,RUSSIAN R,http://cdec.water.ca.gov/
DWS,  11621 CFS,flow,SACRAMENTO DEEP WATER SHIPPING CHANNEL,real-time,/cgi-progs/queryF?DWS,0,38.25611,-121.66667,YOLO,SACRAMENTO R,http://cdec.water.ca.gov/
SDC,  40725 CFS,flow,SACRAMENTO R ABOVE DELTA CROSS CHANNEL,real-time,/cgi-progs/queryF?SDC,10,38.257,-121.518,SACRAMENTO,SACRAMENTO R,http://cdec.water.ca.gov/
HMC,  29081 CFS,flow,SACRAMENTO R AT HAMILTON CITY-MAIN CH,real-time,/cgi-progs/queryF?HMC,145,39.7509231567383,-121.99787902832,GLENN,SACRAMENTO R,http://cdec.water.ca.gov/
ORD,  36490 CFS,flow,SACRAMENTO R AT ORD FERRY-MAIN CHANNEL,real-time,/cgi-progs/queryF?ORD,115,39.6281318664551,-121.993179321289,GLENN,SACRAMENTO R,http://cdec.water.ca.gov/
BND,  17000 CFS,flow,SACRAMENTO RIVER AT BEND BRIDGE,real-time,/cgi-progs/queryF?BND,286,40.2884864807129,-122.186660766602,TEHAMA,SACRAMENTO R,http://cdec.water.ca.gov/
BTC,  35823 CFS,flow,SACRAMENTO RIVER AT BUTTE CITY,real-time,/cgi-progs/queryF?BTC,99,39.4578399658203,-121.994163513184,GLENN,SACRAMENTO R,http://cdec.water.ca.gov/
COL,  31800 CFS,flow,SACRAMENTO RIVER AT COLUSA,real-time,/cgi-progs/queryF?COL,-3,39.2140579223633,-122.00025177002,COLUSA,SACRAMENTO R,http://cdec.water.ca.gov/
DLT,   1190 CFS,flow,SACRAMENTO RIVER AT DELTA ,real-time,/cgi-progs/queryF?DLT,1075,40.9395942687988,-122.417236328125,SHASTA,SACRAMENTO R,http://cdec.water.ca.gov/
FPT,  70448 CFS,flow,SACRAMENTO RIVER AT FREEPORT,real-time,/cgi-progs/queryF?FPT,0,38.45,-121.5,SACRAMENTO,SACRAMENTO R,http://cdec.water.ca.gov/
IST,  71550 CFS,flow,SACRAMENTO RIVER AT I STREET BRIDGE,real-time,/cgi-progs/queryF?IST,27,38.589,-121.504,SACRAMENTO,SACRAMENTO R,http://cdec.water.ca.gov/
MAL,     35 CFS,flow,SACRAMENTO RIVER AT MALLARD ISLAND,real-time,/cgi-progs/queryF?MAL,0,38.044,-121.919,CONTRA COSTA,SACRAMENTO R,http://cdec.water.ca.gov/
SRV, 132282 CFS,flow,SACRAMENTO RIVER AT RIO VISTA (USGS),real-time,/cgi-progs/queryF?SRV,0,38.16,-121.686,SOLANO,SACRAMENTO R,http://cdec.water.ca.gov/
VON,  62600 CFS,flow,SACRAMENTO RIVER AT VERONA,real-time,/cgi-progs/queryF?VON,43,38.7743453979492,-121.598289489746,SUTTER,SACRAMENTO R,http://cdec.water.ca.gov/
VIN,  26280 CFS,flow,SACRAMENTO RIVER AT VINA BRIDGE-MAIN CH,real-time,/cgi-progs/queryF?VIN,185,39.9087371826172,-122.092468261719,TEHAMA,SACRAMENTO R,http://cdec.water.ca.gov/
GES,  28059 CFS,flow,SACRAMENTO RIVER BELOW GEORGIANA SLOUGH,real-time,/cgi-progs/queryF?GES,0,38.2389,-121.5234,SACRAMENTO,SACRAMENTO R,http://cdec.water.ca.gov/
WLK,  25400 CFS,flow,SACRAMENTO RIVER BELOW WILKINS SLOUGH,real-time,/cgi-progs/queryF?WLK,30,39.009895324707,-121.824691772461,SUTTER,SACRAMENTO R,http://cdec.water.ca.gov/
CLW,     19 CFS,flow,SACTO R AT COLUSA WEIR (CREST 61.8'),real-time,/cgi-progs/queryF?CLW,70,39.2368202209473,-121.994758605957,COLUSA,SACRAMENTO R,http://cdec.water.ca.gov/
FRE,  27651 CFS,flow,SACTO R AT FREMONT WEIR (CREST 33.5'),real-time,/cgi-progs/queryF?FRE,40,38.759445,-121.666389,YOLO,SACRAMENTO R,http://cdec.water.ca.gov/
TIS,   7237 CFS,flow,SACTO R AT TISDALE WEIR (CREST 45.5'),real-time,/cgi-progs/queryF?TIS,45,39.026439666748,-121.822082519531,SUTTER,SACRAMENTO R,http://cdec.water.ca.gov/
PAS,    164 CFS,flow,SALINAS RIVER AT PASO ROBLES,real-time,/cgi-progs/queryF?PAS,700,35.6285820007324,-120.68433380127,SAN LUIS OBISPO,SALINAS R,http://cdec.water.ca.gov/
BRA,     45 CFS,flow,SALINAS RIVER NEAR BRADLEY,real-time,/cgi-progs/queryF?BRA,443,35.9302444458008,-120.868789672852,MONTEREY,SALINAS R,http://cdec.water.ca.gov/
SPR,    500 CFS,flow,SALINAS RIVER NEAR SPRECKELS,real-time,/cgi-progs/queryF?SPR,53,36.6310691833496,-121.67244720459,MONTEREY,SALINAS R,http://cdec.water.ca.gov/
SMS,   2320 CFS,flow,SALMON RIVER AT SOMES BAR,real-time,/cgi-progs/queryF?SMS,483,41.3765144348145,-123.477005004883,SISKIYOU,SALMON R,http://cdec.water.ca.gov/
SSH,    254 CFS,flow,SALT SLOUGH AT HWY 165 NR STEVINSON,real-time,/cgi-progs/queryF?SSH,75,37.2478,-120.8511,MERCED,SAN JOAQUIN R,http://cdec.water.ca.gov/
SBH,     16 CFS,flow,SAN BENITO R AT HWY 156 NEAR HOLLISTER,real-time,/cgi-progs/queryF?SBH,260,36.8518981933594,-121.42993927002,SAN BENITO,SAN BENITO R,http://cdec.water.ca.gov/
FSN,     24 CFS,flow,SAN DIEGO RIVER AT FASHION VALLEY,real-time,/cgi-progs/queryF?FSN,30,32.7650489807129,-117.168647766113,SAN DIEGO,SAN DIEGO R,http://cdec.water.ca.gov/
SMN,       BRT,flow,SAN JOAQUIN R ABV MERCED R NR NEWMAN,real-time,/cgi-progs/queryF?SMN,60,37.3472137451172,-120.976181030273,SAN JOAQUIN,SAN JOAQUIN R,http://cdec.water.ca.gov/
BDT,   2923 CFS,flow,SAN JOAQUIN R AT BRANDT BRIDGE,real-time,/cgi-progs/queryF?BDT,0,37.865,-121.3231,SAN JOAQUIN,SAN JOAQUIN R,http://cdec.water.ca.gov/
DNB,    275 CFS,flow,SAN JOAQUIN R AT DONNY BRIDGE,real-time,/cgi-progs/queryF?DNB,239,36.8335,-119.9658,MADERA,SAN JOAQUIN R,http://cdec.water.ca.gov/
FFB,   1180 CFS,flow,SAN JOAQUIN R AT FREMONT FORD BRIDGE,real-time,/cgi-progs/queryF?FFB,65,37.3099403381348,-120.931037902832,MERCED,SAN JOAQUIN R,http://cdec.water.ca.gov/
H41,    406 CFS,flow,SAN JOAQUIN R AT HWY 41,real-time,/cgi-progs/queryF?H41,260,36.8762,-119.7932,MADERA,SAN JOAQUIN R,http://cdec.water.ca.gov/
MRB,   2367 CFS,flow,SAN JOAQUIN R AT MAZE RD BRIDGE,real-time,/cgi-progs/queryF?MRB,39,37.6414,-121.2276,STANISLAUS,SAN JOAQUIN R,http://cdec.water.ca.gov/
PRI,  52082 CFS,flow,SAN JOAQUIN R AT PRISONERS PT NR TERMINO,real-time,/cgi-progs/queryF?PRI,0,38.0594,-121.5572,SAN JOAQUIN,SAN JOAQUIN R,http://cdec.water.ca.gov/
SJN,     78 CFS,flow,SAN JOAQUIN R AT SAN MATEO RD NR MENDOTA,real-time,/cgi-progs/queryF?SJN,163,36.7788887023926,-120.306663513184,FRESNO,SAN JOAQUIN R,http://cdec.water.ca.gov/
SKB,    256 CFS,flow,SAN JOAQUIN R BLW HWY 145 (SKAGGS BR),real-time,/cgi-progs/queryF?SKB,200,36.8229,-120.0884,MADERA,SAN JOAQUIN R,http://cdec.water.ca.gov/
SCL,   1710 CFS,flow,SAN JOAQUIN R NR CROWS LANDING,real-time,/cgi-progs/queryF?SCL,60,37.4318809509277,-121.013816833496,STANISLAUS,SAN JOAQUIN R,http://cdec.water.ca.gov/
SDP,      8 CFS,flow,SAN JOAQUIN R NR DOS PALOS,real-time,/cgi-progs/queryF?SDP,116,36.994,-120.5015,FRESNO,SAN JOAQUIN R,http://cdec.water.ca.gov/
SWA,       BRT,flow,SAN JOAQUIN R NR WASHINGTON RD,real-time,/cgi-progs/queryF?SWA,109,37.11532,-120.587,MERCED,SAN JOAQUIN R,http://cdec.water.ca.gov/
SJG,   4425 CFS,flow,SAN JOAQUIN RIVER AT GARWOOD BRIDGE,real-time,/cgi-progs/queryF?SJG,13,37.935,-121.329,SAN JOAQUIN,SAN JOAQUIN R,http://cdec.water.ca.gov/
GRF,    219 CFS,flow,SAN JOAQUIN RIVER AT GRAVELLY FORD,real-time,/cgi-progs/queryF?GRF,170,36.798,-120.16,FRESNO,SAN JOAQUIN R,http://cdec.water.ca.gov/
SJJ, 159661 CFS,flow,SAN JOAQUIN RIVER AT JERSEY POINT (USGS),real-time,/cgi-progs/queryF?SJJ,10,38.052,-121.689,SAN JOAQUIN,SAN JOAQUIN R,http://cdec.water.ca.gov/
MSD,   4174 CFS,flow,SAN JOAQUIN RIVER AT MOSSDALE BRIDGE,real-time,/cgi-progs/queryF?MSD,31,37.786,-121.306,SAN JOAQUIN,SAN JOAQUIN R,http://cdec.water.ca.gov/
SJB,    150 CFS,flow,SAN JOAQUIN RIVER BELOW BIFURCATION,real-time,/cgi-progs/queryF?SJB,170,36.773,-120.286,MADERA,SAN JOAQUIN R,http://cdec.water.ca.gov/
SJF,    416 CFS,flow,SAN JOAQUIN RIVER BELOW FRIANT,real-time,/cgi-progs/queryF?SJF,294,36.9843940734863,-119.724311828613,FRESNO,SAN JOAQUIN R,http://cdec.water.ca.gov/
SJA,     36 CFS,flow,SAN JOAQUIN RIVER NEAR AUBERRY,real-time,/cgi-progs/queryF?SJA,870,37.132,-119.531,FRESNO,SAN JOAQUIN R,http://cdec.water.ca.gov/
MEN,    152 CFS,flow,SAN JOAQUIN RIVER NEAR MENDOTA,real-time,/cgi-progs/queryF?MEN,170,36.8105049133301,-120.378227233887,FRESNO,SAN JOAQUIN R,http://cdec.water.ca.gov/
NEW,   1680 CFS,flow,SAN JOAQUIN RIVER NEAR NEWMAN,real-time,/cgi-progs/queryF?NEW,90,37.3504943847656,-120.977149963379,MERCED,SAN JOAQUIN R,http://cdec.water.ca.gov/
SJP,   1506 CFS,flow,SAN JOAQUIN RIVER NEAR PATTERSON,real-time,/cgi-progs/queryF?SJP,97,37.494,-121.081,STANISLAUS,SAN JOAQUIN R,http://cdec.water.ca.gov/
SJS,    880 CFS,flow,SAN JOAQUIN RIVER NEAR STEVINSON,real-time,/cgi-progs/queryF?SJS,82,37.295,-120.851,MERCED,SAN JOAQUIN R,http://cdec.water.ca.gov/
VNS,   3100 CFS,flow,SAN JOAQUIN RIVER NEAR VERNALIS,real-time,/cgi-progs/queryF?VNS,35,37.6760406494141,-121.266326904297,SAN JOAQUIN,SAN JOAQUIN R,http://cdec.water.ca.gov/
ELF,    132 CFS,flow,SANTA CLARA R AT E LA FALDA WY NR PIRU,real-time,/cgi-progs/queryF?ELF,710,34.403526,-118.739143,VENTURA,SANTA CLARA R,http://cdec.water.ca.gov/
SYH,       ART,flow,SANTA YNEZ R AT H ST NR LOMPOC,real-time,/cgi-progs/queryF?SYH,57,34.6683158874512,-120.457939147949,SANTA BARBARA,SANTA YNEZ R,http://cdec.water.ca.gov/
SFJ,    324 CFS,flow,SCOTT RIVER NEAR FORT JONES,real-time,/cgi-progs/queryF?SFJ,2623,41.6406898498535,-123.015037536621,SISKIYOU,KLAMATH R,http://cdec.water.ca.gov/
SCS,    727 CFS,flow,SCOTTS CK NR LAKEPORT,real-time,/cgi-progs/queryF?SCS,1400,39.0954475402832,-122.961044311523,LAKE,SACRAMENTO R,http://cdec.water.ca.gov/
