station_code,station_name,station_type,query,altitude,latitude,longitude,county,river_basin,data_source
ABJ,A&B CANAL NR JOHNSTONVILLE,real-time,/cgi-progs/queryF?ABJ,4110,40.3639,120.5333,LASSEN,SUSAN R,http://cdec.water.ca.gov/
AGW,A.G. WISHON (PG&E),real-time,/cgi-progs/queryF?AGW,1000,37.151,119.505,MERCED,SAN JOAQUIN R,http://cdec.water.ca.gov/
ACN,ACTON,real-time,/cgi-progs/queryF?ACN,2600,34.446,118.2,LOS ANGELES,SANTA CLARA R,http://cdec.water.ca.gov/
ADM,ADIN MOUNTAIN,real-time,/cgi-progs/queryF?ADM,6200,41.237,120.792,MODOC,PIT R,http://cdec.water.ca.gov/
AGP,AGNEW PASS,real-time,/cgi-progs/queryF?AGP,9450,37.7244,119.143,MADERA,SAN JOAQUIN R,http://cdec.water.ca.gov/
ACD,"ALAMEDA CK ABOVE DIV DAM NR SUNOL, CA.",real-time,/cgi-progs/queryF?ACD,930,37.4974365234375,121.773567199707,SANTA CLARA,ALAMEDA CR,http://cdec.water.ca.gov/
ACC,"ALAMEDA CK BL CALAVERAS CK NR SUNOL, CA.",real-time,/cgi-progs/queryF?ACC,430,37.504,121.824,SANTA CLARA,ALAMEDA CR,http://cdec.water.ca.gov/
ALN,ALAMEDA CK NR NILES,real-time,/cgi-progs/queryF?ALN,86,37.587158203125,121.960792541504,ALAMEDA,ALAMEDA CR,http://cdec.water.ca.gov/
ALD,ALDER POINT,real-time,/cgi-progs/queryF?ALD,923,40.232,123.712,HUMBOLDT,EEL R,http://cdec.water.ca.gov/
ALS,ALDER SPRINGS (USACE),real-time,/cgi-progs/queryF?ALS,4500,39.65,122.725,GLENN,STONY CR,http://cdec.water.ca.gov/
ADS,ALDER SPRINGS NEAR ELK CREEK,real-time,/cgi-progs/queryF?ADS,4500,39.65,122.725,GLENN,STONY CR,http://cdec.water.ca.gov/
ALO,ALISO CANYON,real-time,/cgi-progs/queryF?ALO,2780,34.329,118.555,VENTURA,SANTA CLARA R,http://cdec.water.ca.gov/
ALY,ALLEGHANY,real-time,/cgi-progs/queryF?ALY,4957,39.47,120.875,SIERRA,YUBA R,http://cdec.water.ca.gov/
ALP,ALPHA (SMUD),real-time,/cgi-progs/queryF?ALP,7600,38.805,120.215,EL DORADO,AMERICAN R,http://cdec.water.ca.gov/
API,ALPINE,real-time,/cgi-progs/queryF?API,2041,32.834,116.739,SAN DIEGO,SAN DIEGO R,http://cdec.water.ca.gov/
AHZ,AMERICAN R AT HAZEL AVE BRIDGE,real-time,/cgi-progs/queryF?AHZ,100,38.636,121.224,SACRAMENTO,AMERICAN R,http://cdec.water.ca.gov/
AFD,AMERICAN R BELOW FOLSOM DAM,real-time,/cgi-progs/queryF?AFD,220,38.6883,121.1667,SACRAMENTO,AMERICAN R,http://cdec.water.ca.gov/
CBR,AMERICAN RIVER AT CHILI BAR,real-time,/cgi-progs/queryF?CBR,931,38.772,120.816,EL DORADO,AMERICAN R,http://cdec.water.ca.gov/
AFO,AMERICAN RIVER AT FAIR OAKS,real-time,/cgi-progs/queryF?AFO,72,38.6354598999023,121.227729797363,SACRAMENTO,AMERICAN R,http://cdec.water.ca.gov/
HST,AMERICAN RIVER AT H STREET BRIDGE,real-time,/cgi-progs/queryF?HST,45,38.569,121.423,SACRAMENTO,AMERICAN R,http://cdec.water.ca.gov/
AWP,AMERICAN RIVER AT WILLIAM B POND PARK,real-time,/cgi-progs/queryF?AWP,45,38.591,121.332,SACRAMENTO,AMERICAN R,http://cdec.water.ca.gov/
AWB,AMERICAN RIVER BELOW WATT AVE BRIDGE,real-time,/cgi-progs/queryF?AWB,50,38.567,121.387,SACRAMENTO,AMERICAN R,http://cdec.water.ca.gov/
AMK,AMERICAN SF NR KYBURZ,real-time,/cgi-progs/queryF?AMK,3840,38.764,120.325,EL DORADO,AMERICAN R,http://cdec.water.ca.gov/
AMD,AMMO DUMP,real-time,/cgi-progs/queryF?AMD,1068,33.382,117.286,SAN DIEGO,SANTA MARGARITA R,http://cdec.water.ca.gov/
MUR,ANGELS CK BLW MURPHYS,real-time,/cgi-progs/queryF?MUR,2138,38.1381,120.3386,CALAVERAS,CALAVERAS R,http://cdec.water.ca.gov/
ANG,ANGWIN,real-time,/cgi-progs/queryF?ANG,1815,38.5712,122.4332,NAPA,NAPA R,http://cdec.water.ca.gov/
ANL,ANTELOPE CREEK AT LANDFILL,real-time,/cgi-progs/queryF?ANL,200,38.764,121.26,PLACER,AMERICAN R,http://cdec.water.ca.gov/
ANT,ANTELOPE LAKE,real-time,/cgi-progs/queryF?ANT,4960,40.18,120.607,PLUMAS,FEATHER R,http://cdec.water.ca.gov/
POP,ANTELOPE VALLEY CALIF POPPY RESERVE,real-time,/cgi-progs/queryF?POP,2760,34.738,118.404,LOS ANGELES,ANTELOPE VALLEY,http://cdec.water.ca.gov/
ANC,ANTIOCH (USBR),real-time,/cgi-progs/queryF?ANC,10,38.004,121.804,CONTRA COSTA,DELTA,http://cdec.water.ca.gov/
ANZ,ANZA,real-time,/cgi-progs/queryF?ANZ,3920,33.5558,116.6744,RIVERSIDE,SAN JACINTO R,http://cdec.water.ca.gov/
APT,APTOS CREEK AT RIDER ROAD,real-time,/cgi-progs/queryF?APT,1123,37.0361,121.8528,SANTA CRUZ,SAN LORENZO R,http://cdec.water.ca.gov/
ACK,ARCADE CK NR DEL PASO HTS,real-time,/cgi-progs/queryF?ACK,50,38.634,121.382,SACRAMENTO,AMERICAN R,http://cdec.water.ca.gov/
ARD,ARCADE CREEK AT SUNRISE BLVD,real-time,/cgi-progs/queryF?ARD,22,38.684,121.271,SACRAMENTO,AMERICAN R,http://cdec.water.ca.gov/
AMC,ARCADE CREEK AT WINDING WAY,real-time,/cgi-progs/queryF?AMC,70,38.645,121.347,SACRAMENTO,AMERICAN R,http://cdec.water.ca.gov/
ARW,ARDEN WAY,real-time,/cgi-progs/queryF?ARW,35,38.596,121.413,SACRAMENTO,AMERICAN R,http://cdec.water.ca.gov/
ARS,ARROWHEAD SPRINGS HOTEL,real-time,/cgi-progs/queryF?ARS,2000,34.184,117.264,SAN BERNARDINO,LYTLE CR,http://cdec.water.ca.gov/
ACM,ARROYO CORTE MADERA DEL PRESIDIO,real-time,/cgi-progs/queryF?ACM,3,37.898,122.535,MARIN,SF BAY,http://cdec.water.ca.gov/
ABA,ARROYO DEL HAMBRE,real-time,/cgi-progs/queryF?ABA,800,37.977,122.178,CONTRA COSTA,EAST BAY,http://cdec.water.ca.gov/
ARG,ARROYO GRANDE,real-time,/cgi-progs/queryF?ARG,600,35.117,120.417,SAN LUIS OBISPO,ARROYO GRANDE CREEK,http://cdec.water.ca.gov/
AHD,"ARROYO HONDO NR SAN JOSE, CA.",real-time,/cgi-progs/queryF?AHD,784,37.4616050720215,121.769393920898,SANTA CLARA,ALAMEDA CR,http://cdec.water.ca.gov/
ARM,ARROYO MOCHO NEAR LIVERMORE,real-time,/cgi-progs/queryF?ARM,746,37.6263198852539,121.70467376709,ALAMEDA,EAST BAY,http://cdec.water.ca.gov/
GAL,ARROYO PASAJERO AT GALE AVENUE,real-time,/cgi-progs/queryF?GAL,240,36.183,120.058,FRESNO,ARROYO PASAJERO,http://cdec.water.ca.gov/
ARY,ARROYO SECO,real-time,/cgi-progs/queryF?ARY,980,36.23,121.488,MONTEREY,SALINAS R,http://cdec.water.ca.gov/
ASS,ARROYO SECO NR SOLEDAD,real-time,/cgi-progs/queryF?ASS,399,36.2805213928223,121.322708129883,MONTEREY,SALINAS R,http://cdec.water.ca.gov/
AVL,ARROYO VALLE NR LIVERMORE,real-time,/cgi-progs/queryF?AVL,510,37.6232643127441,121.758842468262,ALAMEDA,EAST BAY,http://cdec.water.ca.gov/
ASC,ASH CREEK (USFS),real-time,/cgi-progs/queryF?ASC,3200,41.276943,121.979446,SISKIYOU,MC CLOUD R,http://cdec.water.ca.gov/
AHV,ASH VALLEY,real-time,/cgi-progs/queryF?AHV,5090,41.058,120.706,LASSEN,PIT R,http://cdec.water.ca.gov/
ATL,ATLAS PEAK,real-time,/cgi-progs/queryF?ATL,1660,38.433,122.25,NAPA,NAPA R,http://cdec.water.ca.gov/
ATW,ATWELL CAMP,real-time,/cgi-progs/queryF?ATW,6400,36.464,118.631,TULARE,KAWEAH R,http://cdec.water.ca.gov/
ADR,AUBURN DAM RIDGE,real-time,/cgi-progs/queryF?ADR,1200,38.882,121.045,PLACER,AMERICAN R,http://cdec.water.ca.gov/
BCS,BACK CANYON (SOUTH),real-time,/cgi-progs/queryF?BCS,3490,35.309,118.36,KERN,CALIENTE CR,http://cdec.water.ca.gov/
BAC,BACON ISLAND AT OLD RIVER,real-time,/cgi-progs/queryF?BAC,0,37.972,121.571,SAN JOAQUIN,DELTA,http://cdec.water.ca.gov/
BKR,BAKER,real-time,/cgi-progs/queryF?BKR,700,40.283,122.373,TEHAMA,COTTONWOOD CR,http://cdec.water.ca.gov/
BAL,BALCH PH (PG&E),real-time,/cgi-progs/queryF?BAL,1720,36.909,119.089,FRESNO,KINGS R,http://cdec.water.ca.gov/
BM2,BALD MOUNTAIN #2,real-time,/cgi-progs/queryF?BM2,2865,37.58,121.35,SAN JOAQUIN,SAN JOAQUIN R,http://cdec.water.ca.gov/
BAM,BALD MOUNTAIN (KERN CO),real-time,/cgi-progs/queryF?BAM,8290,36.02,118.279,KERN,KERN R,http://cdec.water.ca.gov/
BDM,BALD MOUNTAIN (USBR),real-time,/cgi-progs/queryF?BDM,4720,37.067,119.4,FRESNO,SAN JOAQUIN R,http://cdec.water.ca.gov/
BMT,BALD MOUNTAIN (USFS),real-time,/cgi-progs/queryF?BMT,4680,38.9,120.683,EL DORADO,RUBICON R,http://cdec.water.ca.gov/
BPK,BALD PEAK,real-time,/cgi-progs/queryF?BPK,1905,37.8836,122.2219,CONTRA COSTA,SF BAY,http://cdec.water.ca.gov/
BSF,BALLS FERRY BRIDGE,real-time,/cgi-progs/queryF?BSF,360,40.417,122.193,TEHAMA,SACRAMENTO R,http://cdec.water.ca.gov/
BGR,BANGOR,real-time,/cgi-progs/queryF?BGR,800,39.380833,121.386108,BUTTE,YUBA R,http://cdec.water.ca.gov/
BKS,BARKER SLOUGH PUMPING PLANT (KG000000),real-time,/cgi-progs/queryF?BKS,0,38.2759,121.7965,SOLANO,DELTA,http://cdec.water.ca.gov/
BNA,BARONA,real-time,/cgi-progs/queryF?BNA,1280,32.999,116.84,SAN DIEGO,SAN DIEGO R,http://cdec.water.ca.gov/
BRR,BARREL SPRINGS,real-time,/cgi-progs/queryF?BRR,5835,41.9111,119.9389,State of Nevada,PIT R,http://cdec.water.ca.gov/
BSR,BARTLETT SPRINGS RAINGAGE,real-time,/cgi-progs/queryF?BSR,2060,39.182,122.702,LAKE,CACHE CR,http://cdec.water.ca.gov/
BAK,BATES CREEK RANCH,real-time,/cgi-progs/queryF?BAK,440,37.0208,121.93,SANTA CRUZ,SAN LORENZO R,http://cdec.water.ca.gov/
BTS,BATES RIDGE,real-time,/cgi-progs/queryF?BTS,5120,34.917,119.917,SANTA BARBARA,SANTA MARIA R,http://cdec.water.ca.gov/
BTT,BATTERSON,real-time,/cgi-progs/queryF?BTT,3160,37.383,119.617,MADERA,SAN JOAQUIN R,http://cdec.water.ca.gov/
BAT,BATTLE CREEK,real-time,/cgi-progs/queryF?BAT,200,40.3982086181641,122.146385192871,TEHAMA,SACRAMENTO R,http://cdec.water.ca.gov/
BTR,BATTLE RIDGE,real-time,/cgi-progs/queryF?BTR,3400,40.333,121.75,TEHAMA,SACTO VLY WEST,http://cdec.water.ca.gov/
BCH,BEACH MEADOWS,real-time,/cgi-progs/queryF?BCH,7650,36.127,118.293,TULARE,KERN R,http://cdec.water.ca.gov/
BAR,BEAR,real-time,/cgi-progs/queryF?BAR,319,37.367,120.217,MARIPOSA,MERCED R,http://cdec.water.ca.gov/
BRK,BEAR CK AB HOLSTEN CYN NR RUMSEY,real-time,/cgi-progs/queryF?BRK,920,38.9576759338379,122.342750549316,COLUSA,CACHE CR,http://cdec.water.ca.gov/
BSD,BEAR CK BLW EASTSIDE CANAL,real-time,/cgi-progs/queryF?BSD,95,37.2547,120.7194,MADERA,SAN JOAQUIN R,http://cdec.water.ca.gov/
MCK,BEAR CREEK AT MC KEE ROAD,real-time,/cgi-progs/queryF?MCK,167,37.3092,120.4456,MERCED,SAN JOAQUIN R,http://cdec.water.ca.gov/
BRC,BEAR CREEK NEAR LODI,real-time,/cgi-progs/queryF?BRC,60,38.074,121.211,SAN JOAQUIN,SAN JOAQUIN R,http://cdec.water.ca.gov/
BRP,BEAR PEAK,real-time,/cgi-progs/queryF?BRP,8228,35.884,118.052,TULARE,KERN R,http://cdec.water.ca.gov/
BPL,BEAR POOL,real-time,/cgi-progs/queryF?BPL,459,37.3667,120.61,MERCED,MERCED R,http://cdec.water.ca.gov/
BRE,BEAR R AT ROLLINS RESERVOIR,real-time,/cgi-progs/queryF?BRE,1945,39.133,120.953,PLACER,BEAR R,http://cdec.water.ca.gov/
CFW,BEAR RIVER AT CAMP FAR WEST DAM,real-time,/cgi-progs/queryF?CFW,260,39.05,121.317,YUBA,BEAR R,http://cdec.water.ca.gov/
BPG,BEAR RIVER AT PLEASANT GROVE RD,real-time,/cgi-progs/queryF?BPG,75,38.9833,121.4881,SUTTER,BEAR R,http://cdec.water.ca.gov/
BRW,BEAR RIVER NEAR WHEATLAND,real-time,/cgi-progs/queryF?BRW,72,39.000171661377,121.406623840332,PLACER,BEAR R,http://cdec.water.ca.gov/
BTP,BEAR TRAP,real-time,/cgi-progs/queryF?BTP,5217,39.0945,120.5769,PLACER,AMERICAN R,http://cdec.water.ca.gov/
BRM,BEAR TRAP MEADOW,real-time,/cgi-progs/queryF?BRM,6800,36.676,118.858,TULARE,KAWEAH R,http://cdec.water.ca.gov/
BVY,BEAR VALLEY,real-time,/cgi-progs/queryF?BVY,4000,35.14,118.625,KERN,CALIENTE CR,http://cdec.water.ca.gov/
BVE,BEAVER,real-time,/cgi-progs/queryF?BVE,5000,38.483,120.317,AMADOR,MOKELUMNE R,http://cdec.water.ca.gov/
BDL,BELDON LANDING,real-time,/cgi-progs/queryF?BDL,0,38.1869,121.9708,SOLANO,SACRAMENTO R,http://cdec.water.ca.gov/
BEC,BELL CANYON,real-time,/cgi-progs/queryF?BEC,750,33.5517,117.5731,ORANGE,SANTA ANA R,http://cdec.water.ca.gov/
BLT,BEN BOLT,real-time,/cgi-progs/queryF?BLT,1138,38.586,121.017,EL DORADO,COSUMNES R,http://cdec.water.ca.gov/
BLN,BEN LOMOND,real-time,/cgi-progs/queryF?BLN,365,37.093,122.075,SANTA CRUZ,SAN LORENZO R,http://cdec.water.ca.gov/
BLO,BEN LOMOND (CDF),real-time,/cgi-progs/queryF?BLO,2630,37.132,122.17,SANTA CRUZ,SAN LORENZO R,http://cdec.water.ca.gov/
BTN,BENTON,real-time,/cgi-progs/queryF?BTN,5450,37.843,118.478,MONO,OWENS R,http://cdec.water.ca.gov/
BTA,BETA,real-time,/cgi-progs/queryF?BTA,7600,38.8,120.2,EL DORADO,AMERICAN R,http://cdec.water.ca.gov/
BET,BETHEL ISLAND,real-time,/cgi-progs/queryF?BET,9,38.042,121.642,CONTRA COSTA,DELTA,http://cdec.water.ca.gov/
BIF,BETHEL ISLAND FIRE,real-time,/cgi-progs/queryF?BIF,20,38.0155,121.6396,CONTRA COSTA,DELTA,http://cdec.water.ca.gov/
BHL,BEVERLY HILLS,real-time,/cgi-progs/queryF?BHL,1260,34.125,118.42,LOS ANGELES,LOS ANGELES R,http://cdec.water.ca.gov/
BGB,BIG BAR,real-time,/cgi-progs/queryF?BGB,1270,40.733,123.2,TRINITY,TRINITY R,http://cdec.water.ca.gov/
BIC,BIG CHICO CREEK NEAR CHICO,real-time,/cgi-progs/queryF?BIC,274,39.7684173583984,121.778602600098,BUTTE,SACRAMENTO R,http://cdec.water.ca.gov/
BGF,BIG CK DIVERSION NR FISH CAMP,real-time,/cgi-progs/queryF?BGF,5400,37.46944,119.61417,MARIPOSA,MERCED R,http://cdec.water.ca.gov/
BDD,BIG DALTON DAM,real-time,/cgi-progs/queryF?BDD,1587,34.17,117.808,LOS ANGELES,SAN GABRIEL R,http://cdec.water.ca.gov/
BFL,BIG FLAT,real-time,/cgi-progs/queryF?BFL,5100,41.08,122.942,TRINITY,TRINITY R,http://cdec.water.ca.gov/
BIG,BIG MEADOW (KERN CO),real-time,/cgi-progs/queryF?BIG,7740,35.89,118.334,KERN,KERN R,http://cdec.water.ca.gov/
BIM,BIG MEADOWS (DWR),real-time,/cgi-progs/queryF?BIM,7600,36.717,118.842,TULARE,KINGS R,http://cdec.water.ca.gov/
BMW,BIG MEADOWS (SCS),real-time,/cgi-progs/queryF?BMW,8700,39.458,119.946,State of Nevada,TRUCKEE R,http://cdec.water.ca.gov/
BGP,BIG PINE CREEK,real-time,/cgi-progs/queryF?BGP,9800,37.128,118.475,INYO,OWENS R,http://cdec.water.ca.gov/
BPF,BIG PINE FLAT,real-time,/cgi-progs/queryF?BPF,6861,34.319,117.013,SAN BERNARDINO,SANTA ANA R,http://cdec.water.ca.gov/
BPM,BIG PINE MEADOW,real-time,/cgi-progs/queryF?BPM,7340,35.947,118.063,KERN,KERN R,http://cdec.water.ca.gov/
BPI,BIG PINES,real-time,/cgi-progs/queryF?BPI,3917,34.379,117.692,LOS ANGELES,ANTELOPE VALLEY,http://cdec.water.ca.gov/
BSN,BIG SANDY,real-time,/cgi-progs/queryF?BSN,5757,37.4684,119.5856,MARIPOSA,MERCED R,http://cdec.water.ca.gov/
BSC,BIG SULPHUR CREEK,real-time,/cgi-progs/queryF?BSC,350,38.826,122.996,SONOMA,RUSSIAN R,http://cdec.water.ca.gov/
BSH,BISHOP PASS,real-time,/cgi-progs/queryF?BSH,11200,37.1,118.557,FRESNO,KINGS R,http://cdec.water.ca.gov/
BXP,BIXLER PUMPING PLANT,real-time,/cgi-progs/queryF?BXP,14,37.9397,121.6235,CONTRA COSTA,DELTA,http://cdec.water.ca.gov/
BIX,BIXLER ROAD,real-time,/cgi-progs/queryF?BIX,14,37.94,121.622,CONTRA COSTA,SAN JOAQUIN R,http://cdec.water.ca.gov/
BLB,BLACK BUTTE,real-time,/cgi-progs/queryF?BLB,426,39.808,122.329,TEHAMA,STONY CR,http://cdec.water.ca.gov/
BBG,BLACK BUTTE GENERATOR,real-time,/cgi-progs/queryF?BBG,393,39.815,122.3322,TEHAMA,SACRAMENTO R,http://cdec.water.ca.gov/
BBP,BLACK BUTTE POOL,real-time,/cgi-progs/queryF?BBP,518,39.8139,122.3367,TEHAMA,SACRAMENTO R,http://cdec.water.ca.gov/
BLW,BLACK BUTTE WEATHER,real-time,/cgi-progs/queryF?BLW,425,39.8083,122.3292,TEHAMA,STONY CR,http://cdec.water.ca.gov/
BCC,BLACK CREEK NR COPPEROPOLIS,real-time,/cgi-progs/queryF?BCC,746,37.9610366821289,120.615203857422,CALAVERAS,STANISLAUS R,http://cdec.water.ca.gov/
BKD,BLACK DIAMOND MINES,real-time,/cgi-progs/queryF?BKD,1600,37.95,121.884,CONTRA COSTA,EAST BAY,http://cdec.water.ca.gov/
BLM,BLACK MOUNTAIN,real-time,/cgi-progs/queryF?BLM,3625,35.395,120.353,SAN LUIS OBISPO,SALINAS R,http://cdec.water.ca.gov/
BDV,BLACK RASCAL DIVERSION,real-time,/cgi-progs/queryF?BDV,183,37.3328,120.3944,MERCED,MERCED R,http://cdec.water.ca.gov/
BLS,BLACK SPRINGS,real-time,/cgi-progs/queryF?BLS,6500,38.375,120.192,CALAVERAS,STANISLAUS R,http://cdec.water.ca.gov/
BCB,BLACKCAP BASIN,real-time,/cgi-progs/queryF?BCB,10300,37.067,118.77,FRESNO,KINGS R,http://cdec.water.ca.gov/
BLL,BLACKLOCK (NE1),real-time,/cgi-progs/queryF?BLL,0,38.1801,121.9069,SOLANO,SACRAMENTO R,http://cdec.water.ca.gov/
BLI,BLACKLOCK ISLAND,real-time,/cgi-progs/queryF?BLI,0,38.1807,121.9069,SOLANO,SACRAMENTO R,http://cdec.water.ca.gov/
BKK,BLACKROCK,real-time,/cgi-progs/queryF?BKK,8200,36.093,118.261,TULARE,KERN R,http://cdec.water.ca.gov/
BLA,BLACKS MOUNTAIN,real-time,/cgi-progs/queryF?BLA,7050,40.77,121.198,LASSEN,PIT R,http://cdec.water.ca.gov/
BLP,BLIND POINT,real-time,/cgi-progs/queryF?BLP,0,38.028,121.722,CONTRA COSTA,DELTA,http://cdec.water.ca.gov/
BLD,BLOODS CREEK,real-time,/cgi-progs/queryF?BLD,7200,38.45,120.033,ALPINE,STANISLAUS R,http://cdec.water.ca.gov/
BLC,BLUE CANYON,real-time,/cgi-progs/queryF?BLC,5280,39.2761,120.7081,PLACER,AMERICAN R,http://cdec.water.ca.gov/
BL2,BLUE CANYON #2 (ETI),real-time,/cgi-progs/queryF?BL2,5280,39.283,120.7,PLACER,AMERICAN R,http://cdec.water.ca.gov/
BDR,BLUE DOOR,real-time,/cgi-progs/queryF?BDR,5900,41.056,120.336,LASSEN,PIT R,http://cdec.water.ca.gov/
BLK,BLUE LAKES,real-time,/cgi-progs/queryF?BLK,8000,38.613,119.931,ALPINE,MOKELUMNE R,http://cdec.water.ca.gov/
BOB,BOB RABBIT,real-time,/cgi-progs/queryF?BOB,3848,35.568,118.288,KERN,KERN R,http://cdec.water.ca.gov/
BOC,BOCA RESERVOIR,real-time,/cgi-progs/queryF?BOC,5521,39.383,120.1,NEVADA,TRUCKEE R,http://cdec.water.ca.gov/
BGD,BOGARD RANGER STATION,real-time,/cgi-progs/queryF?BGD,5680,40.59,121.08,LASSEN,SUSAN R,http://cdec.water.ca.gov/
BNK,BONANZA KING,real-time,/cgi-progs/queryF?BNK,6450,41.083,122.628,TRINITY,TRINITY R,http://cdec.water.ca.gov/
BNV,BOONVILLE,real-time,/cgi-progs/queryF?BNV,840,38.9875,123.3486,MENDOCINO,NAVARRO RIVER,http://cdec.water.ca.gov/
BCI,BOREL CANAL BLW ISABELLA DAM,real-time,/cgi-progs/queryF?BCI,2540,35.4756,118.4692,KERN,KERN R,http://cdec.water.ca.gov/
BOS,BOREL CANAL SIPHON,real-time,/cgi-progs/queryF?BOS,2520,35.5931,118.5022,KERN,KERN R,http://cdec.water.ca.gov/
BOP,BOREL POOL,real-time,/cgi-progs/queryF?BOP,2635,35.6431,118.4683,KERN,KERN R,http://cdec.water.ca.gov/
BRN,BORON,real-time,/cgi-progs/queryF?BRN,2893,35.094,117.582,SAN BERNARDINO,MOJAVE DESERT,http://cdec.water.ca.gov/
BDC,BOULDER CREEK,real-time,/cgi-progs/queryF?BDC,800,37.142,122.163,SANTA CRUZ,SAN LORENZO R,http://cdec.water.ca.gov/
BOL,BOWMAN LAKE,real-time,/cgi-progs/queryF?BOL,5390,39.4481,120.6536,NEVADA,YUBA R,http://cdec.water.ca.gov/
BOY,BOYNTON SLOUGH AT SPR TRACKS,real-time,/cgi-progs/queryF?BOY,0,38.2052,122.0622,SOLANO,DELTA,http://cdec.water.ca.gov/
BMO,BRANCH MOUNTAIN,real-time,/cgi-progs/queryF?BMO,3770,35.189,120.083,SAN LUIS OBISPO,SALINAS R,http://cdec.water.ca.gov/
BDY,BRANDY CREEK,real-time,/cgi-progs/queryF?BDY,1300,40.617,122.567,SHASTA,SACTO VLY NE,http://cdec.water.ca.gov/
BZR,BRAZIE RANCH,real-time,/cgi-progs/queryF?BZR,3020,41.687,122.6,SISKIYOU,KLAMATH R,http://cdec.water.ca.gov/
BKE,BRECKENRIDGE,real-time,/cgi-progs/queryF?BKE,7548,35.4506,118.5839,KERN,KERN R,http://cdec.water.ca.gov/
BTD,BRENTWOOD - CONTRA COSTA CO CORP YARD,real-time,/cgi-progs/queryF?BTD,95,37.92,121.678,CONTRA COSTA,EAST BAY,http://cdec.water.ca.gov/
BPT,BRIDGEPORT,real-time,/cgi-progs/queryF?BPT,6650,38.272,119.289,MONO,WALKER R,http://cdec.water.ca.gov/
BGV,BRIDGEVILLE,real-time,/cgi-progs/queryF?BGV,646,40.474,123.792,HUMBOLDT,VAN DUZEN R,http://cdec.water.ca.gov/
BNE,BRIONES,real-time,/cgi-progs/queryF?BNE,1450,37.934,122.118,CONTRA COSTA,EAST BAY,http://cdec.water.ca.gov/
BAW,BROKEN ARROW RANCH,real-time,/cgi-progs/queryF?BAW,3083,37.524,121.512,SAN JOAQUIN,SAN JOAQUIN R,http://cdec.water.ca.gov/
BSS,BROOKS,real-time,/cgi-progs/queryF?BSS,360,38.738335,122.144722,YOLO,CACHE CR,http://cdec.water.ca.gov/
BNC,BROWN'S CK NR DOUGLAS CITY,real-time,/cgi-progs/queryF?BNC,1640,40.6503,122.9842,TRINITY,TRINITY R,http://cdec.water.ca.gov/
BWD,BROWNS CK DIVERSION CANAL NR BASS LAKE,real-time,/cgi-progs/queryF?BWD,3583,37.2886,119.5192,MADERA,SAN JOAQUIN R,http://cdec.water.ca.gov/
BWV,BROWNS VALLEY (CORRALITOS 4NW),real-time,/cgi-progs/queryF?BWV,360,37.025,121.777,SANTA CRUZ,PAJARO R,http://cdec.water.ca.gov/
BRS,BRUSH CREEK (DWR),real-time,/cgi-progs/queryF?BRS,3560,39.692,121.339,BUTTE,FEATHER R,http://cdec.water.ca.gov/
BHC,BRUSH CREEK (SMUD),real-time,/cgi-progs/queryF?BHC,2923,38.805,120.62,EL DORADO,AMERICAN R,http://cdec.water.ca.gov/
BUC,BUCHANAN DAM,real-time,/cgi-progs/queryF?BUC,450,37.213,119.97,MADERA,CHOWCHILLA R,http://cdec.water.ca.gov/
BHP,BUCHANAN POOL,real-time,/cgi-progs/queryF?BHP,613,37.2167,119.9844,MADERA,CHOWCHILLA R,http://cdec.water.ca.gov/
BIL,BUCK ISLAND LAKE,real-time,/cgi-progs/queryF?BIL,6400,39.001,120.25,EL DORADO,AMERICAN R,http://cdec.water.ca.gov/
BKM,BUCK MEADOWS,real-time,/cgi-progs/queryF?BKM,3200,37.8233,120.0975,TUOLUMNE,TUOLUMNE R,http://cdec.water.ca.gov/
BUP,BUCKS CREEK POWERHOUSE,real-time,/cgi-progs/queryF?BUP,1760,39.917,121.333,PLUMAS,FEATHER R,http://cdec.water.ca.gov/
BKL,BUCKS LAKE,real-time,/cgi-progs/queryF?BKL,5750,39.85,121.242,PLUMAS,FEATHER R,http://cdec.water.ca.gov/
BFC,BUFFALO CREEK,real-time,/cgi-progs/queryF?BFC,3900,40.5819,119.79,State of Nevada,NOT SPECIFIED,http://cdec.water.ca.gov/
BCW,BULL CREEK NEAR WEOTT,real-time,/cgi-progs/queryF?BCW,269,40.3515281677246,124.005043029785,HUMBOLDT,EEL R,http://cdec.water.ca.gov/
BUD,BULLARDS BAR,real-time,/cgi-progs/queryF?BUD,2100,39.3963,121.1439,YUBA,YUBA R,http://cdec.water.ca.gov/
BNR,BUNNING RANCH,real-time,/cgi-progs/queryF?BNR,1520,37.3678,119.89,MARIPOSA,FRESNO R,http://cdec.water.ca.gov/
BMC,BURNING MOSCOW,real-time,/cgi-progs/queryF?BMC,5920,35.4656,118.2547,KERN,KERN R,http://cdec.water.ca.gov/
BNY,BURNS CANYON,real-time,/cgi-progs/queryF?BNY,6000,34.208,116.6217,SAN BERNARDINO,WHITEWATER R,http://cdec.water.ca.gov/
BUR,BURNS CREEK DAM,real-time,/cgi-progs/queryF?BUR,319,37.377,120.275,MERCED,MERCED R,http://cdec.water.ca.gov/
BPO,BURNS POOL,real-time,/cgi-progs/queryF?BPO,167,37.3767,120.275,MERCED,MERCED R,http://cdec.water.ca.gov/
