
"/cgi-progs/queryGroup?s=ESE&d=24-Dec-2012+17:42&span=12hours","ESE","8 STATION EVENT PRECIPITATION (EVENT PRECIPITATION FOR 8 STATION INDEX"
"/cgi-progs/queryGroup?s=ESH&d=24-Dec-2012+17:42&span=12hours","ESH","8 STATION HOURLY PRECIPITATION (HOURLY PRECIPITATION FOR 8 STATION INDEX"
"/cgi-progs/queryGroup?s=AMP&d=24-Dec-2012+17:42&span=12hours","AMP","AMERICAN R PRECIPITATION #1 (AMERICAN RIVER PRECIPITATION SENSORS  #1"
"/cgi-progs/queryGroup?s=AP2&d=24-Dec-2012+17:42&span=12hours","AP2","AMERICAN R PRECIPITATION #2 (AMERICAN RIVER PRECIPITATION SENSORS #2"
"/cgi-progs/queryGroup?s=AMS&d=24-Dec-2012+17:42&span=12hours","AMS","AMERICAN R SNOW (AMERICAN RIVER SNOW SENSORS"
"/cgi-progs/queryGroup?s=AMT&d=24-Dec-2012+17:42&span=12hours","AMT","AMERICAN R TEMPERATURE (AMERICAN RIVER AIR TEMPERATURE SENSORS"
"/cgi-progs/queryGroup?s=AMF&d=24-Dec-2012+17:42&span=12hours","AMF","AMERICAN RIVER AT & ABV FOLSOM (AMERICAN RIVER ABOVE FOLSOM INCLUDING FOLSOM (FLOWS)"
"/cgi-progs/queryGroup?s=ARR&d=24-Dec-2012+17:42&span=12hours","ARR","ARROYO PASAJERO ("
"/cgi-progs/queryGroup?s=ARP&d=24-Dec-2012+17:42&span=12hours","ARP","ARROYO PASAJERO PCP ("
"/cgi-progs/queryGroup?s=ARS&d=24-Dec-2012+17:42&span=12hours","ARS","ARROYO PASAJERO STG ("
"/cgi-progs/queryGroup?s=MK1&d=24-Dec-2012+17:42&span=12hours","MK1","BANNER 1 ("
"/cgi-progs/queryGroup?s=MK2&d=24-Dec-2012+17:42&span=12hours","MK2","BANNER 2 ("
"/cgi-progs/queryGroup?s=B1A&d=24-Dec-2012+17:42&span=12hours","B1A","BATTERY (SNOW) - SCOTT,TRINITY (BATTERY VOLTAGE FOR SCOTT AND TRINITY R"
"/cgi-progs/queryGroup?s=B2C&d=24-Dec-2012+17:42&span=12hours","B2C","BATTERY - AMERICAN RIVER (BATTERY VOLTAGE - USBR SITES AMERICAN RIVER"
"/cgi-progs/queryGroup?s=B2B&d=24-Dec-2012+17:42&span=12hours","B2B","BATTERY - SACRAMENTO RIVER (BATTERY VOLTAGE - USBR SITES  SACRAMENTO RIVER"
"/cgi-progs/queryGroup?s=B2E&d=24-Dec-2012+17:42&span=12hours","B2E","BATTERY - SAN JOAQUIN RIVER (BATTERY VOLTAGE - USBR SITES; SAN JOAQUIN RIVER"
"/cgi-progs/queryGroup?s=B2D&d=24-Dec-2012+17:42&span=12hours","B2D","BATTERY - STANISLAUS RIVER (BATTERY VOLTAGE - USBR SITES; STANISLAUS RIVER"
"/cgi-progs/queryGroup?s=B1D&d=24-Dec-2012+17:42&span=12hours","B1D","BATTERY-AMERICAN R (BATTERY VOLTAGE FOR AMERICAN RIVER (SNOW)"
"/cgi-progs/queryGroup?s=B1C&d=24-Dec-2012+17:42&span=12hours","B1C","BATTERY-FEATHER,YUBA (BATTERY VOLTAGE FOR FEATHER,YUBA R (SNOW)"
"/cgi-progs/queryGroup?s=B1J&d=24-Dec-2012+17:42&span=12hours","B1J","BATTERY-KERN R (BATTERY VOLTAGE FOR KERN R (SNOW)"
"/cgi-progs/queryGroup?s=B1I&d=24-Dec-2012+17:42&span=12hours","B1I","BATTERY-KINGS,KAWEAH,TULE R (BATTERY VOLTAGE FOR KINGS,KAWEAH,TULE R (SNOW)"
"/cgi-progs/queryGroup?s=B1G&d=24-Dec-2012+17:42&span=12hours","B1G","BATTERY-MERCED, FRESNO R (BATTERY VOLTAGE FOR MERCED, FRESNO R (SNOW)"
"/cgi-progs/queryGroup?s=B1E&d=24-Dec-2012+17:42&span=12hours","B1E","BATTERY-MOKELUMNE,STANISLAUS (BATTERY VOLTAGE FOR MOKELUMNE, STANISLAUS (SNOW)"
"/cgi-progs/queryGroup?s=B1K&d=24-Dec-2012+17:42&span=12hours","B1K","BATTERY-MONO LAKE,OWENS R (BATTERY VOLTAGE FOR MONO LK, OWENS R (SNOW)"
